#,"This file contains recorder deployment information. Each row contains a set of data concerning the deployment, frequencies, or the recorders. The first field in each row is the key to the rest of the line. If the key is a '#' the line is a comment. Each set of rows is provided with an initial comment row to indicate the purpose of each field in the row. The fields in each row are position dependent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,clientId,location,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deployment,cpai,chukchi,2009-summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,The frequency points that has the calibration value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frequencyPoints,200,300,400,500,600,700,800,900,1000,1200,1300,1400,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,16000,32000,,,,,,,,,,,,,,,,,,,,,,,
#,recorderId,recorderMake,recorderVersion,stationId,hydrophoneId,hydrophoneMake,sampleRate,channels,bitsPerSample,fileStructure,startDate,startTime,driveNo,latitude,longitude,meters,dropDate,dropTime,recoveryDate,recoveryTime,vPerBit,sensitivity,sensitivityFrequencyPoint,Calibrations for Frequency Points,,,,,,,,,,,,,,,,,,,,,,,,,,,
recorder,011,AMAR,1,CLN90B,84,M15B,16000,1,24,2.d352800a.000000.1251337428.2009-08-27-01-43-48.wav,02-Aug-09,1:43:49,0,70.9882667,-167.1008667,43.89,07-Aug-09,13:55:53,10-Oct-09,15:30:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,036,AMAR,1,KL01,5,M15B,16000,1,24,0.8052823a.000000.1249176155.2009-08-02-01-22-35.wav,02-Aug-09,1:22:36,0,70.82475,-165.7057167,39.32,07-Aug-09,1:02:09,10-Oct-09,7:46:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,033,AMAR,1,KL02,122,M15B,16000,1,24,0.d282b2.000000.1233481199.2009-02-01-09-39-59.wav,02-Aug-09,1:08:34,0,70.8962833,-165.7081167,39.32,07-Aug-09,1:41:18,10-Oct-09,8:35:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,047,AMAR,1,KL03,74,M15B,16000,1,24,0.33528072.000000.1249176640.2009-08-02-01-30-40.wav,02-Aug-09,1:30:41,0,70.7892333,-165.5173,39.32,06-Aug-09,20:23:00,10-Oct-09,2:18:30,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,004,AMAR,1,KL04,97,M15B,16000,1,24,0.6d52803b.000000.1249176277.2009-08-02-01-24-37.wav,02-Aug-09,1:24:38,0,70.86125,-165.5173,39.93,07-Aug-09,0:22:41,10-Oct-09,7:07:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,029,AMAR,1,KL05,108,M15B,16000,1,24,0.a252821a.000000.1249175640.2009-08-02-01-14-00.wav,02-Aug-09,1:14:01,0,70.9328167,-165.5188833,39.93,07-Aug-09,2:20:45,10-Oct-09,9:16:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,039,AMAR,1,KL06,106,M15B,16000,1,24,,02-Aug-09,1:28:31,0,70.8255,-165.3274667,39.68,06-Aug-09,21:11:00,10-Oct-09,3:19:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,026,AMAR,1,KL07,114,M15B,16000,1,24,0.225282d2.000000.1249176016.2009-08-02-19-20-16.wav,02-Aug-09,1:20:17,0,70.8975167,-165.3284167,39.32,06-Aug-09,23:45:00,10-Oct-09,6:17:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,025,AMAR,1,KL08,6,M15B,16000,1,24,0.77d2820a.000000.1249175508.2009-08-02-01-11-48.wav,02-Aug-09,1:11:50,0,70.9692167,-165.32985,38.71,07-Aug-09,3:00:00,10-Oct-09,9:55:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,030,AMAR,1,KL09,78,M15B,16000,1,24,0.9cd28263.000000.1232869472.2009-01-25-07-44-32.wav,02-Aug-09,1:26:26,0,70.86165,-165.1390333,39.01,06-Aug-09,21:51:00,10-Oct-09,3:58:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
